id;Название плейлиста;Название видео;Дата публикации видео;Количество просмотров видео;Количество лайков под видео;Количество дизлайков под видео;Количество добавлений видео в избранное;Количество комментариев под видео;Продолжительность видео в секундах
jWp61QVABNE;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);FV4005-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-20T04:00:10Z;83650;4832;219;0;678;1486
skmaOzd2oqk;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Type 5 Heavy-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-18T04:00:14Z;58414;3363;72;0;529;2499
oqwehYcuJOk;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Maus-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-16T04:00:05Z;67560;4203;77;0;502;2462
pFa61yzDFpA;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);M48 Patton-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-14T04:00:05Z;65735;3489;70;0;498;1841
g7ixvCp4oQ8;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);113-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-12T04:00:07Z;56765;3440;52;0;542;1850
QM0jSW5hfz4;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Т-62А-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-10T04:00:02Z;74543;3709;125;0;598;2254
HpF5KjsRI-A;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);FV217 Badger-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-08T04:00:06Z;59519;3687;79;0;493;1481
0SOfqZy2ywo;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);К-91-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-06T04:00:01Z;65223;3576;98;0;538;2036
60X4ougxHwI;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Т110Е4-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-04T04:00:01Z;77783;4401;105;0;571;1985
JWXAizQJjxQ;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Т110Е3-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-10-02T04:00:05Z;80776;4039;115;0;520;2110
9rLgKQdz9fw;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Объект 268 Вариант 4-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-30T04:00:02Z;95802;4501;193;0;512;2228
Ocnsyyz2ayk;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Jagdpanzer E 100-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-28T04:00:03Z;108139;5023;273;0;567;2012
IKr3CaUrCiY;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Progetto M40 mod. 65-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-26T10:00:05Z;78269;3644;109;0;470;2406
tM5ZAcU6j8Q;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);TVP T 50/51-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-24T07:00:20Z;80241;4061;100;0;478;1774
ht02PxbBHYA;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);BAT.-CHÂTILLON 25 T-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-22T07:00:06Z;66868;3562;88;0;607;2125
QRJEMnzPNDI;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);AMX 50 B-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-18T07:00:04Z;73881;3778;99;0;497;1655
wyPeKCFmpdU;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Kranvagn-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-16T07:00:08Z;63169;3572;85;0;446;1950
iHDDou6CJ6M;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);T57 HEAVY TANK-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-14T07:00:05Z;103045;5207;115;0;725;2029
aEy7BsbpGL4;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Объект 279 ранний-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-12T07:00:01Z;97697;4993;158;0;613;2213
9fzVgekJNFg;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Объект 705А-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-10T07:00:01Z;111855;5060;183;0;611;2064
59oJ54dMmvw;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Объект 260-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-08T07:00:01Z;73547;5013;87;0;727;1882
eO8deeLTSx8;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ИС-7-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-06T07:00:04Z;101743;5622;156;0;673;2438
1hEl7yrWmDY;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);60TP Lewandowskiego-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-04T05:00:00Z;74940;4096;101;0;584;2130
H2kS0v6VyfI;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Объект 277-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-09-02T07:00:04Z;115154;6051;132;0;628;2066
vZJBZMy2BXA;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);Super Conqueror-ПОЛОЖНЯК ПО ДЕСЯТКЕ;2020-08-31T07:00:08Z;77903;4997;100;0;622;2165
